PeriodoNum;Edad;CantidadPacientes
201601;0;21
201602;0;24
201603;0;13
201604;0;18
201605;0;6
201606;0;7
201607;0;9
201608;0;11
201609;0;9
201610;0;9
201611;0;5
201612;0;6
201601;1;2
201602;1;3
201603;1;4
201604;1;6
201605;1;5
201606;1;1
201607;1;2
201608;1;3
201609;1;6
201610;1;7
201611;1;4
201612;1;7
201601;2;4
201602;2;2
201603;2;2
201604;2;3
201605;2;1
201606;2;1
201607;2;3
201608;2;5
201609;2;7
201610;2;3
201611;2;2
201612;2;5
201601;3;4
201602;3;4
201603;3;6
201604;3;5
201605;3;5
201606;3;3
201607;3;3
201608;3;3
201609;3;1
201610;3;6
201611;3;3
201612;3;2
201602;4;3
201603;4;2
201604;4;5
201605;4;2
201607;4;3
201608;4;3
201609;4;2
201610;4;1
201611;4;3
201612;4;2
201601;5;3
201603;5;2
201604;5;5
201606;5;2
201607;5;1
201608;5;3
201610;5;2
201611;5;3
201612;5;2
201601;6;8
201602;6;5
201603;6;2
201604;6;8
201605;6;1
201606;6;1
201607;6;4
201608;6;1
201609;6;6
201612;6;2
201601;7;4
201602;7;2
201603;7;1
201604;7;2
201605;7;1
201606;7;2
201607;7;1
201608;7;3
201609;7;4
201610;7;8
201611;7;6
201612;7;3
201601;8;1
201603;8;2
201607;8;1
201608;8;1
201609;8;2
201610;8;1
201611;8;3
201612;8;3
201601;9;2
201602;9;4
201603;9;2
201604;9;2
201605;9;3
201606;9;2
201609;9;3
201610;9;2
201611;9;1
201612;9;3
201601;10;2
201603;10;3
201604;10;1
201605;10;3
201607;10;1
201608;10;3
201609;10;1
201610;10;1
201612;10;3
201601;11;4
201602;11;2
201603;11;3
201604;11;2
201607;11;5
201608;11;2
201609;11;5
201611;11;3
201612;11;2
201601;12;2
201602;12;2
201603;12;2
201604;12;4
201605;12;3
201606;12;1
201607;12;5
201608;12;4
201609;12;1
201610;12;2
201611;12;1
201612;12;1
201602;13;2
201603;13;3
201604;13;3
201605;13;3
201606;13;5
201607;13;2
201608;13;3
201609;13;5
201610;13;2
201611;13;4
201612;13;2
201601;14;5
201602;14;3
201603;14;4
201604;14;4
201605;14;1
201606;14;3
201607;14;1
201608;14;3
201609;14;1
201610;14;1
201611;14;1
201612;14;1
201601;15;3
201602;15;3
201603;15;4
201604;15;6
201605;15;3
201606;15;5
201607;15;1
201608;15;1
201609;15;3
201610;15;2
201611;15;1
201612;15;1
201601;16;6
201602;16;3
201603;16;4
201604;16;7
201605;16;6
201606;16;3
201607;16;7
201608;16;8
201609;16;4
201610;16;3
201611;16;2
201612;16;5
201601;17;3
201602;17;1
201603;17;1
201604;17;4
201605;17;3
201606;17;1
201607;17;4
201608;17;3
201609;17;5
201610;17;4
201611;17;4
201612;17;5
201601;18;6
201602;18;2
201603;18;6
201604;18;5
201605;18;3
201607;18;3
201608;18;3
201609;18;8
201610;18;4
201611;18;5
201601;19;6
201602;19;5
201603;19;4
201604;19;6
201605;19;4
201606;19;3
201607;19;3
201608;19;2
201609;19;1
201610;19;7
201611;19;4
201612;19;1
201601;20;10
201602;20;5
201603;20;3
201604;20;5
201605;20;2
201606;20;3
201607;20;3
201608;20;2
201609;20;3
201610;20;6
201611;20;8
201612;20;4
201601;21;4
201602;21;5
201603;21;4
201604;21;6
201605;21;3
201606;21;3
201607;21;5
201608;21;4
201609;21;6
201610;21;5
201611;21;4
201612;21;10
201601;22;1
201602;22;6
201603;22;5
201604;22;4
201605;22;4
201606;22;7
201607;22;2
201608;22;6
201609;22;1
201610;22;3
201611;22;5
201612;22;7
201601;23;8
201602;23;4
201603;23;2
201604;23;1
201605;23;6
201606;23;6
201607;23;7
201608;23;5
201609;23;6
201610;23;6
201611;23;4
201612;23;6
201601;24;4
201602;24;3
201603;24;2
201604;24;3
201605;24;3
201606;24;9
201607;24;9
201608;24;7
201609;24;5
201610;24;4
201611;24;8
201612;24;5
201601;25;6
201602;25;8
201603;25;3
201604;25;6
201605;25;9
201606;25;5
201607;25;7
201608;25;4
201609;25;6
201610;25;9
201611;25;6
201612;25;3
201601;26;6
201602;26;9
201603;26;6
201604;26;8
201605;26;8
201606;26;4
201607;26;5
201608;26;5
201609;26;5
201610;26;4
201611;26;13
201612;26;8
201601;27;5
201602;27;8
201603;27;4
201604;27;4
201605;27;7
201606;27;10
201607;27;7
201608;27;9
201609;27;7
201610;27;15
201611;27;5
201612;27;9
201601;28;6
201602;28;5
201603;28;9
201604;28;8
201605;28;3
201606;28;9
201607;28;6
201608;28;11
201609;28;6
201610;28;11
201611;28;8
201612;28;10
201601;29;7
201602;29;4
201603;29;8
201604;29;6
201605;29;6
201606;29;9
201607;29;13
201608;29;4
201609;29;10
201610;29;5
201611;29;3
201612;29;6
201601;30;5
201602;30;1
201603;30;7
201604;30;5
201605;30;4
201606;30;7
201607;30;10
201608;30;14
201609;30;10
201610;30;9
201611;30;8
201612;30;5
201601;31;5
201602;31;3
201603;31;7
201604;31;7
201605;31;8
201606;31;11
201607;31;9
201608;31;12
201609;31;9
201610;31;12
201611;31;5
201612;31;9
201601;32;6
201602;32;5
201603;32;6
201604;32;4
201605;32;11
201606;32;12
201607;32;8
201608;32;9
201609;32;10
201610;32;7
201611;32;6
201612;32;5
201601;33;4
201602;33;11
201603;33;6
201604;33;11
201605;33;7
201606;33;5
201607;33;5
201608;33;7
201609;33;7
201610;33;6
201611;33;10
201612;33;14
201601;34;8
201602;34;5
201603;34;9
201604;34;11
201605;34;9
201606;34;12
201607;34;13
201608;34;15
201609;34;15
201610;34;18
201611;34;12
201612;34;11
201601;35;9
201602;35;9
201603;35;3
201604;35;15
201605;35;7
201606;35;8
201607;35;12
201608;35;18
201609;35;13
201610;35;12
201611;35;13
201612;35;9
201601;36;7
201602;36;9
201603;36;10
201604;36;6
201605;36;10
201606;36;7
201607;36;10
201608;36;13
201609;36;15
201610;36;12
201611;36;11
201612;36;9
201601;37;10
201602;37;13
201603;37;21
201604;37;13
201605;37;14
201606;37;10
201607;37;5
201608;37;9
201609;37;14
201610;37;6
201611;37;5
201612;37;7
201601;38;11
201602;38;8
201603;38;16
201604;38;10
201605;38;13
201606;38;6
201607;38;8
201608;38;12
201609;38;15
201610;38;14
201611;38;9
201612;38;4
201601;39;11
201602;39;12
201603;39;12
201604;39;11
201605;39;11
201606;39;17
201607;39;12
201608;39;10
201609;39;12
201610;39;7
201611;39;9
201612;39;16
201601;40;13
201602;40;15
201603;40;9
201604;40;12
201605;40;10
201606;40;7
201607;40;6
201608;40;13
201609;40;13
201610;40;19
201611;40;10
201612;40;11
201601;41;10
201602;41;10
201603;41;10
201604;41;13
201605;41;10
201606;41;11
201607;41;14
201608;41;15
201609;41;17
201610;41;14
201611;41;13
201612;41;11
201601;42;15
201602;42;12
201603;42;14
201604;42;19
201605;42;16
201606;42;14
201607;42;11
201608;42;14
201609;42;13
201610;42;13
201611;42;11
201612;42;17
201601;43;14
201602;43;14
201603;43;10
201604;43;15
201605;43;22
201606;43;11
201607;43;13
201608;43;13
201609;43;13
201610;43;11
201611;43;14
201612;43;14
201601;44;14
201602;44;14
201603;44;16
201604;44;18
201605;44;10
201606;44;10
201607;44;11
201608;44;13
201609;44;17
201610;44;14
201611;44;15
201612;44;7
201601;45;13
201602;45;16
201603;45;12
201604;45;13
201605;45;15
201606;45;12
201607;45;12
201608;45;20
201609;45;14
201610;45;16
201611;45;9
201612;45;5
201601;46;18
201602;46;17
201603;46;12
201604;46;21
201605;46;13
201606;46;12
201607;46;17
201608;46;18
201609;46;21
201610;46;18
201611;46;11
201612;46;17
201601;47;23
201602;47;19
201603;47;22
201604;47;23
201605;47;22
201606;47;20
201607;47;22
201608;47;13
201609;47;22
201610;47;19
201611;47;28
201612;47;16
201601;48;23
201602;48;21
201603;48;21
201604;48;23
201605;48;23
201606;48;13
201607;48;14
201608;48;19
201609;48;30
201610;48;13
201611;48;16
201612;48;22
201601;49;18
201602;49;18
201603;49;15
201604;49;26
201605;49;21
201606;49;27
201607;49;20
201608;49;21
201609;49;20
201610;49;25
201611;49;15
201612;49;15
201601;50;26
201602;50;28
201603;50;25
201604;50;31
201605;50;20
201606;50;12
201607;50;24
201608;50;15
201609;50;22
201610;50;16
201611;50;28
201612;50;20
201601;51;18
201602;51;28
201603;51;22
201604;51;24
201605;51;26
201606;51;23
201607;51;26
201608;51;18
201609;51;21
201610;51;15
201611;51;19
201612;51;19
201601;52;25
201602;52;25
201603;52;27
201604;52;30
201605;52;23
201606;52;24
201607;52;16
201608;52;24
201609;52;21
201610;52;16
201611;52;24
201612;52;15
201601;53;19
201602;53;29
201603;53;31
201604;53;31
201605;53;24
201606;53;19
201607;53;21
201608;53;22
201609;53;28
201610;53;21
201611;53;15
201612;53;22
201601;54;33
201602;54;23
201603;54;26
201604;54;32
201605;54;32
201606;54;17
201607;54;20
201608;54;21
201609;54;20
201610;54;26
201611;54;27
201612;54;21
201601;55;26
201602;55;29
201603;55;22
201604;55;33
201605;55;26
201606;55;21
201607;55;20
201608;55;24
201609;55;28
201610;55;28
201611;55;20
201612;55;24
201601;56;22
201602;56;22
201603;56;22
201604;56;38
201605;56;27
201606;56;30
201607;56;23
201608;56;27
201609;56;21
201610;56;25
201611;56;24
201612;56;21
201601;57;29
201602;57;31
201603;57;25
201604;57;29
201605;57;22
201606;57;14
201607;57;22
201608;57;21
201609;57;33
201610;57;21
201611;57;22
201612;57;27
201601;58;36
201602;58;34
201603;58;25
201604;58;30
201605;58;23
201606;58;19
201607;58;19
201608;58;33
201609;58;45
201610;58;32
201611;58;26
201612;58;22
201601;59;34
201602;59;31
201603;59;24
201604;59;31
201605;59;41
201606;59;32
201607;59;26
201608;59;31
201609;59;29
201610;59;27
201611;59;26
201612;59;21
201601;60;22
201602;60;23
201603;60;18
201604;60;37
201605;60;27
201606;60;31
201607;60;22
201608;60;40
201609;60;24
201610;60;29
201611;60;31
201612;60;31
201601;61;26
201602;61;30
201603;61;32
201604;61;34
201605;61;25
201606;61;25
201607;61;27
201608;61;27
201609;61;23
201610;61;25
201611;61;27
201612;61;18
201601;62;29
201602;62;20
201603;62;14
201604;62;21
201605;62;27
201606;62;23
201607;62;23
201608;62;22
201609;62;32
201610;62;30
201611;62;22
201612;62;17
201601;63;28
201602;63;21
201603;63;29
201604;63;35
201605;63;24
201606;63;17
201607;63;25
201608;63;40
201609;63;35
201610;63;23
201611;63;25
201612;63;24
201601;64;34
201602;64;29
201603;64;20
201604;64;25
201605;64;31
201606;64;20
201607;64;15
201608;64;38
201609;64;43
201610;64;34
201611;64;30
201612;64;31
201601;65;31
201602;65;28
201603;65;29
201604;65;43
201605;65;32
201606;65;24
201607;65;25
201608;65;28
201609;65;28
201610;65;30
201611;65;26
201612;65;20
201601;66;21
201602;66;25
201603;66;30
201604;66;33
201605;66;27
201606;66;41
201607;66;30
201608;66;26
201609;66;32
201610;66;21
201611;66;25
201612;66;29
201601;67;23
201602;67;32
201603;67;31
201604;67;38
201605;67;29
201606;67;27
201607;67;24
201608;67;29
201609;67;38
201610;67;27
201611;67;28
201612;67;27
201601;68;37
201602;68;20
201603;68;27
201604;68;38
201605;68;36
201606;68;30
201607;68;23
201608;68;36
201609;68;32
201610;68;37
201611;68;28
201612;68;33
201601;69;27
201602;69;28
201603;69;32
201604;69;33
201605;69;36
201606;69;33
201607;69;24
201608;69;33
201609;69;29
201610;69;38
201611;69;24
201612;69;19
201601;70;40
201602;70;27
201603;70;33
201604;70;30
201605;70;26
201606;70;25
201607;70;30
201608;70;27
201609;70;26
201610;70;24
201611;70;22
201612;70;19
201601;71;30
201602;71;32
201603;71;25
